prompt_id,prompt_type,prompt_text,smollm2_500_output_text,smollm2_tokens_per_second,smollm2_generation_gpu_peak_memory_mb,gpt2_500_output_text,gpt2_tokens_per_second,gpt2_generation_gpu_peak_memory_mb
p01,sentence_continuation,Avañe'ẽ ha'e,"Avañe'ẽ ha'e peteĩ taha'e haguã ha'e peteĩ taha'éva taha'éva ha taha'éva taha'éva. Oĩ katu ojapo ojapóva haguã, ojapo ojapo ojapo ojehecha ojejuhu taha'éva",6.91,723.25,Avañe'ẽ ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e'ẽva ha'e,25.569,257.45
p02,sentence_continuation,Paraguái retãme,"Paraguái retãme ha'e peteĩ mba'e, peteĩ mba'e táva oiko. Arandu oiko upe haguã ha'e mba'e, ha oiko mba'e hag̃ua, ha'e mba'e táva oiko. Ñemby kuéra hemb",3.703,723.25,"Paraguái retãme, ára oĩ mokõi oñepyrũme. Arandu ára ha ñemombe’e, oñepyrũme. Hérava oĩ rupi oñepyrũme, oñepyrũme, oñepyrũme. Mandu",34.297,257.45
p03,sentence_continuation,Ko kuatiañe'ẽ omombe'u,"Ko kuatiañe'ẽ omombe'u ojekuaa táva ojapova, oñepyrũva mbo'eha'e oikuaa táva kuatiañe'ẽ oñepyrũva mba'e ha'e. Ko mba'e ha'e kuatiañe'ẽme, ojek",4.266,723.25,"Ko kuatiañe'ẽ omombe'u kuatiañe'ẽ ojejyhe'ỹ kuatiañe'ẽ ombohára ka'ãme, ombohára ojejyhe'ỹ ha'e ombohára ojekuaa'ẽ ojekuaa'ẽ.",34.786,257.63
p04,sentence_continuation,Mitãnguéra oho,"Mitãnguéra oho ára 1 jasyrundy 1966-pe ha'e peteĩ mba'e ohasa'ãnga pehẽngue ojapo, ha'e peteĩ arapa ha'e peteĩ mba'e ohasa'ãnga pehẽngue ojapo.",4.177,723.25,Mitãnguéra oho'ẽva avei mokõi jave oñemoñemby ohecha'ẽva oĩ ñemby. Ojuhuéra mokõi mokõi oñemoñemby oñemoñemby ojejapóva mokõi oñemo,34.448,257.63
p05,sentence_continuation,Ñane retã rembiasakue,"Ñane retã rembiasakue, hetãvore táva Tavakuai, oñemboja ñane retã, ojeikuaáva oñemboja tetãvore avei, ojeguereko ñane retã mboja, ojeikuaáva ojeikuaáva ñane retãmbyryre",4.27,723.25,"Ñane retã rembiasakue:

Avei ha'e'e ha'e mokuaa ñembykue kuati ha mokuaa ojapo ojapo ojapo ojapo ojapo ojapo oje'ẽva ojapo ojapo ojapo ojapo oje'ẽva ojapo o",33.288,257.63
p06,sentence_continuation,Tetã guasu,"Tetã guasu ha'e tetãme kuarahyre, kuarahyresýpe ha oñembohéra Tetãgua hembiapokue. Ojejuhu tetãme tetãgua ojejuhu tetãme kuarahyre kuarahyre, ojeguerúva tetãme, oñembyá",4.093,723.25,Tetã guasu (guasu ha'e oñemo hag̃ua ha'e ary 1894-pe). He was later sent to the Republic of China as a prisoner of war in 1918. He was sent to the Republic of China as a prisoner of war in 1918. He was sent to the Republic of China as a prisoner of war in 1918. He was sent to the Republic of,34.446,257.63
p07,sentence_continuation,Oñemoarandu haguã,"Oñemoarandu haguãme, ojoguahẽ térã haguãme oñemoarandu haguãme peteĩha oñemoarandu ojejapo, oñemoarandu oñemombe'éva mbo'épe ha oñemombe'éva mbo'épe oñ",3.936,723.25,"Oñemoarandu haguã heta Mbo’eĩ ha mba’eĩ vaguasu. Mbo’eĩ, jave haguãi’e oñemoarandu, katu ojejapo ombo’e’u, katu ojejapo ombo’e’u ombo�",28.91,257.63
p08,sentence_continuation,Ko ára,"Ko árai oñemohenda'ekue oñemohenda'ekue hetãmbyhykuéra oñembojuhu ko ary 2013-pe, 140.469.080 hagua pegua. Ko árai oñemohenda'ekue ",4.655,723.25,"Ko ára ijapo ára mokueva karai karai ary, karai ary, oñembóva karai ko mokueva karai oñembóva. Mokueva, iñembóva, oñembóva karai, oñembóva oñembóva oñemb",32.881,257.63
p09,sentence_continuation,Ñande ñe'ẽ,"Ñande ñe'ẽva heñói oĩva hag̃ua mbo'eha'e hag̃ua ha'e oñembohai oĩva, oñemomba'apy ojehecha ha'e, oñembohai oĩva. Oĩva, oñemomba'apy oje",4.506,723.25,Ñande ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽva ñe'ẽ,34.103,257.63
p10,sentence_continuation,Ha upéicha,Ha upéicha ha'e tetãvore ojejapóva ojejapóva oñemomby'e táva ojejapóva táva oñemohenda ojejapóva oñemohenda ojejapóva táva oñemohenda oñemomby'e tá,3.827,723.25,Ha upéicha oĩ ha'e ha'e ary 1997. Kéra oĩ ombo'e'ẽvape ha'e oĩ mba'e'ẽva oĩ ha'e ojeygua ha'e oĩ oñemba'e'ẽva oĩ oñemba,33.954,257.63
p11,sentence_continuation,Tekove porã,"Tekove porãi, umi ojeikuaa hag̃ua oñemohenda ojejapo hag̃ua ojapóva yvyporãi, ysyry oguereko ñe'ẽva ojejapóva ysyry. Oñeha'ãre ojeipopo hag̃ua",4.216,723.25,"Tekove porãtakuéra, ko'e opa'e oñe'ẽtakuéra ha'e ojejapo ha ha'e ojapo'ẽtakuéra ha ojapo'ẽtakuéra ha ojapo'ẽtakuéra ha ojapo'ẽtakué",34.738,257.63
p12,sentence_continuation,Yvy ári,Yvy ári pára pegua ha'e térã mbohapy ári ysyrygua pegua ha'e mbohapy ári ysyrygua pegua. Oguereko he'i tetãvore ojejuhúva ñe'ẽgui ysyrygua pegua,4.415,723.25,Yvy áriha oñembyi áriha mbokóva pegua. Oñembyi áriha oñembyi áriha mbokóva pegua. Oñembyi áriha oñembyi áriha mbokóva pegua. Oñembyi á,34.887,257.63
