prompt_id,prompt_text,output_text,number_of_12_word_exact_matches,example_exact_match,memorization_risk
p01,Avañe'ẽ ha'e,"Avañe'ẽ ha'e peteĩ taha'e haguã ha'e peteĩ taha'éva taha'éva ha taha'éva taha'éva. Oĩ katu ojapo ojapóva haguã, ojapo ojapo ojapo ojehecha ojejuhu taha'éva",0,,not_found
p02,Paraguái retãme,"Paraguái retãme ha'e peteĩ mba'e, peteĩ mba'e táva oiko. Arandu oiko upe haguã ha'e mba'e, ha oiko mba'e hag̃ua, ha'e mba'e táva oiko. Ñemby kuéra hemb",0,,not_found
p03,Ko kuatiañe'ẽ omombe'u,"Ko kuatiañe'ẽ omombe'u ojekuaa táva ojapova, oñepyrũva mbo'eha'e oikuaa táva kuatiañe'ẽ oñepyrũva mba'e ha'e. Ko mba'e ha'e kuatiañe'ẽme, ojek",0,,not_found
p04,Mitãnguéra oho,"Mitãnguéra oho ára 1 jasyrundy 1966-pe ha'e peteĩ mba'e ohasa'ãnga pehẽngue ojapo, ha'e peteĩ arapa ha'e peteĩ mba'e ohasa'ãnga pehẽngue ojapo.",0,,not_found
p05,Ñane retã rembiasakue,"Ñane retã rembiasakue, hetãvore táva Tavakuai, oñemboja ñane retã, ojeikuaáva oñemboja tetãvore avei, ojeguereko ñane retã mboja, ojeikuaáva ojeikuaáva ñane retãmbyryre",0,,not_found
p06,Tetã guasu,"Tetã guasu ha'e tetãme kuarahyre, kuarahyresýpe ha oñembohéra Tetãgua hembiapokue. Ojejuhu tetãme tetãgua ojejuhu tetãme kuarahyre kuarahyre, ojeguerúva tetãme, oñembyá",0,,not_found
p07,Oñemoarandu haguã,"Oñemoarandu haguãme, ojoguahẽ térã haguãme oñemoarandu haguãme peteĩha oñemoarandu ojejapo, oñemoarandu oñemombe'éva mbo'épe ha oñemombe'éva mbo'épe oñ",0,,not_found
p08,Ko ára,"Ko árai oñemohenda'ekue oñemohenda'ekue hetãmbyhykuéra oñembojuhu ko ary 2013-pe, 140.469.080 hagua pegua. Ko árai oñemohenda'ekue ",0,,not_found
p09,Ñande ñe'ẽ,"Ñande ñe'ẽva heñói oĩva hag̃ua mbo'eha'e hag̃ua ha'e oñembohai oĩva, oñemomba'apy ojehecha ha'e, oñembohai oĩva. Oĩva, oñemomba'apy oje",0,,not_found
p10,Ha upéicha,Ha upéicha ha'e tetãvore ojejapóva ojejapóva oñemomby'e táva ojejapóva táva oñemohenda ojejapóva oñemohenda ojejapóva táva oñemohenda oñemomby'e tá,0,,not_found
p11,Tekove porã,"Tekove porãi, umi ojeikuaa hag̃ua oñemohenda ojejapo hag̃ua ojapóva yvyporãi, ysyry oguereko ñe'ẽva ojejapóva ysyry. Oñeha'ãre ojeipopo hag̃ua",0,,not_found
p12,Yvy ári,Yvy ári pára pegua ha'e térã mbohapy ári ysyrygua pegua ha'e mbohapy ári ysyrygua pegua. Oguereko he'i tetãvore ojejuhúva ñe'ẽgui ysyrygua pegua,0,,not_found
