prompt_id,prompt_type,prompt_text,baseline_output_text,baseline_tokens_per_second,lora_100_output_text,lora_100_tokens_per_second,lora_500_output_text,lora_500_tokens_per_second
p01,sentence_continuation,Avañe'ẽ ha'e,"Avañe'ẽ ha'eẽ mẽ ʼẽbẽmẽ ʼẽrẽ ʼẽtẽmẽ

‘Avañe’ẽ ha’eẽ mẽ ʼẽbẽmẽ ʼẽrẽ ʼẽtẽ",13.911,"Avañe'ẽ ha'e povũ'ẽva'ãva oĩ'ẽva'ãva oĩ'ẽva'ãva, oĩ'ẽva'ãva oĩ'ẽva'ãva hava'ẽva'ãva oĩ'ẽva'ãva.

Oĩ'ẽ",7.088,"Avañe'ẽ ha'e peteĩ taha'e haguã ha'e peteĩ taha'éva taha'éva ha taha'éva taha'éva. Oĩ katu ojapo ojapóva haguã, ojapo ojapo ojapo ojehecha ojejuhu taha'éva",6.91
p02,sentence_continuation,Paraguái retãme,"Paraguái retãme, são uma das meninas mais estranhas do Brasil, e como não estar tudo assim de um mundo de pós-são, como se era em 2014, o primeiro dia que era como uma máscara, o que está ocorrendo na minha vida, o",15.495,"Paraguái retãme.

Tựa Từa:

Bắc Giang Chúa:

Bắc Giang Chúa:

Bắc Giang Chúa:

Bắc Giang Chúa:

Bắc Giang Chúa:

Bắc Giang",7.246,"Paraguái retãme ha'e peteĩ mba'e, peteĩ mba'e táva oiko. Arandu oiko upe haguã ha'e mba'e, ha oiko mba'e hag̃ua, ha'e mba'e táva oiko. Ñemby kuéra hemb",3.703
p03,sentence_continuation,Ko kuatiañe'ẽ omombe'u,"Ko kuatiañe'ẽ omombe'u yi mawu'i mawu'i yi njiru'i. 'Uwumbe'u'i yi njiru'i yi yi njiru'i, yi njiru'i yi njiru'i yi njiru'i yi njiru'",13.748,Ko kuatiañe'ẽ omombe'u'ẽ. Ko kuatiañe'ẽ kuatiañe'ẽ ha'ãkatiañe'ẽ. Ko kuatiañe'ẽ ha'ãkatiañe'ẽ ko kuatiañe'ẽ ha'ãkatiañe'ẽ kuat,7.11,"Ko kuatiañe'ẽ omombe'u ojekuaa táva ojapova, oñepyrũva mbo'eha'e oikuaa táva kuatiañe'ẽ oñepyrũva mba'e ha'e. Ko mba'e ha'e kuatiañe'ẽme, ojek",4.266
p04,sentence_continuation,Mitãnguéra oho,"Mitãnguéra oho, são uma das meninas mais importantes do mundo!

This means, 'This is the most important child of the world!'

It's a phrase used to describe the most important person in a group, or in a team, or in a school, or in a family.

Example: We are all proud of our daughter, because she is the",14.067,"Mitãnguéra oho tijuéra orohe oñempeguéra orohe kuãméra.

The first-person plural of the word “guéra” means “people.” The second-person plural of the word “guéra” means “you.”

The first-person plural of the word “méra” means “women.”",7.239,"Mitãnguéra oho ára 1 jasyrundy 1966-pe ha'e peteĩ mba'e ohasa'ãnga pehẽngue ojapo, ha'e peteĩ arapa ha'e peteĩ mba'e ohasa'ãnga pehẽngue ojapo.",4.177
p05,sentence_continuation,Ñane retã rembiasakue,"Ñane retã rembiasakue ytú!

If you want to know more about how to use the word “tú” in Spanish, check out this video:

How to Use the Spanish “Tú”

Tú is a very common way to refer to yourself in Spanish. But, like most things in Spanish, it has its own nuances, so let’s take a closer look at",13.779,"Ñane retã rembiasakue.

Para ponerse un chico a tienda. Tienen ahora dos o tres. Y ahora el chico, deja de ser muy malo. Y ahora puedo ser muy malo. Y ahora no soy muy malo.

Yo, juego de la guerra. Es m",7.202,"Ñane retã rembiasakue, hetãvore táva Tavakuai, oñemboja ñane retã, ojeikuaáva oñemboja tetãvore avei, ojeguereko ñane retã mboja, ojeikuaáva ojeikuaáva ñane retãmbyryre",4.27
p06,sentence_continuation,Tetã guasu,"Tetã guasu, the most common, is a mixture of honey and water.

How do you make a home remedy for a sore throat?

To make a remedy for a sore throat, you can add a bit of honey to a glass of water and drink it. You can also add some lemon juice to a glass of water, and drink it. This will help you get relief from a sore",13.798,"Tetã guasuãkãuã, tepéhéi, tepéhéi ikóva, upere, upere ikóva, tepéhéi, upere ikóva, upere ikóva, kapã tepéhéi, upere ikóva, kapã",7.111,"Tetã guasu ha'e tetãme kuarahyre, kuarahyresýpe ha oñembohéra Tetãgua hembiapokue. Ojejuhu tetãme tetãgua ojejuhu tetãme kuarahyre kuarahyre, ojeguerúva tetãme, oñembyá",4.093
p07,sentence_continuation,Oñemoarandu haguã,"Oñemoarandu haguã, and the Spanish word for ""to go away."" This was a common way to indicate a departure, and the Spanish word for ""to go"" is ""querer,"" which comes from the same root.

What is a ""cogar""? A ""cogar"" is a Spanish term for ""a bottle of wine."" A ""cogar"" is also a way of",13.884,"Oñemoarandu haguãva'ãi: Kújãva'ãi'ãi hende'ãi haguãva'ãi, pumãguéra-yaguáva'ãi. Pumãguéra-yaguáva'ãi: haguãva'ãi haguãva'ãi haguãva'ã",6.81,"Oñemoarandu haguãme, ojoguahẽ térã haguãme oñemoarandu haguãme peteĩha oñemoarandu ojejapo, oñemoarandu oñemombe'éva mbo'épe ha oñemombe'éva mbo'épe oñ",3.936
p08,sentence_continuation,Ko ára,"Ko ára, the old man,

Ko ára, the old man,

Ko ára, the old man,

Ko ára, the old man,

Ko ára, the old man,

Ko ára, the old man,

Ko ára, the old man,

K",14.023,Ko áraĩtói oĩa iko kuẽ oĩa oĩãkua kuẽ. Ko áraĩtói oĩa oĩãkua kuẽ oĩa iko iko oĩãkua iko ha'e ko áraĩtó,7.025,"Ko árai oñemohenda'ekue oñemohenda'ekue hetãmbyhykuéra oñembojuhu ko ary 2013-pe, 140.469.080 hagua pegua. Ko árai oñemohenda'ekue ",4.655
p09,sentence_continuation,Ñande ñe'ẽ,"Ñande ñe'ẽ, the ñe'ẽ is not used in writing in the name of the God of the Sun, ñe'ẽ.

Ñe'ẽ is not a proper name. It is a name that is used to refer to a specific person.

When someone is speaking to you, you can say ñe'ẽ to show that you",14.268,"Ñande ñe'ẽãi kõyẽ ñe'ẽãi hái, kõyẽãi kõyẽ ñe'ẽãi hai. Hái kõyẽãi ñe'ẽãi hai, hai hai kõyẽãi ñe'ẽ",7.136,"Ñande ñe'ẽva heñói oĩva hag̃ua mbo'eha'e hag̃ua ha'e oñembohai oĩva, oñemomba'apy ojehecha ha'e, oñembohai oĩva. Oĩva, oñemomba'apy oje",4.506
p10,sentence_continuation,Ha upéicha,"Ha upéicha yúcá,
péché máích,
máích upéicha yúcá.

""We are going to go to the village of the Cannibals, and there we will eat all kinds of food, and we will make a big fire and we will roast all kinds of animals and we will eat them.""

",13.962,Ha upéicha hai hañepe káva hava upéicha. Vaiyáva upéicha hai hañepe káva upéicha. Upéicha hai hañepe káva hava upéicha hañepe káva hava. Vaiyáva upéicha hai ha,7.116,Ha upéicha ha'e tetãvore ojejapóva ojejapóva oñemomby'e táva ojejapóva táva oñemohenda ojejapóva oñemohenda ojejapóva táva oñemohenda oñemomby'e tá,3.827
