prompt_id,prompt_type,prompt_text,smollm2_500_output_text,smollm2_tokens_per_second,smollm2_generation_gpu_peak_memory_mb,bloom_wide_500_output_text,bloom_tokens_per_second,bloom_generation_gpu_peak_memory_mb
p01,sentence_continuation,Avañe'ẽ ha'e,"Avañe'ẽ ha'e peteĩ taha'e haguã ha'e peteĩ taha'éva taha'éva ha taha'éva taha'éva. Oĩ katu ojapo ojapóva haguã, ojapo ojapo ojapo ojehecha ojejuhu taha'éva",6.91,723.25,Avañe'ẽ ha'e peteĩ mba'éva oikove mba'éva ha'e peteĩ mba'éva oikove mba'éva oikove mba'éva oikove mba'éva oikove mba'éva oikove mba'éva oikove mba'éva oikove mba'éva oikove mba'éva o,11.595,1107.95
p02,sentence_continuation,Paraguái retãme,"Paraguái retãme ha'e peteĩ mba'e, peteĩ mba'e táva oiko. Arandu oiko upe haguã ha'e mba'e, ha oiko mba'e hag̃ua, ha'e mba'e táva oiko. Ñemby kuéra hemb",3.703,723.25,"Paraguái retãme, ha'e peteĩ peteĩ ojeguerekohára ojeguerekohára, ha oñemongakuéra ipype ha'e peteĩ peteĩ peteĩ ojeguerekohára ojeguerekohára. Hembiapo ary, ojejapo ojeguerekohára ojeguerekohára, o",13.156,1107.95
p03,sentence_continuation,Ko kuatiañe'ẽ omombe'u,"Ko kuatiañe'ẽ omombe'u ojekuaa táva ojapova, oñepyrũva mbo'eha'e oikuaa táva kuatiañe'ẽ oñepyrũva mba'e ha'e. Ko mba'e ha'e kuatiañe'ẽme, ojek",4.266,723.25,"Ko kuatiañe'ẽ omombe'u tembipopo'ỹeva ñembyvy apytépe, ñembyvy apytépe, ñembyvy apytépe, ñembyvy apytépe, ñembyvy apytépe, ñembyvy apytépe, ñembyvy apytépe, ñembyvy apytépe, ñemb",13.178,1108.14
p04,sentence_continuation,Mitãnguéra oho,"Mitãnguéra oho ára 1 jasyrundy 1966-pe ha'e peteĩ mba'e ohasa'ãnga pehẽngue ojapo, ha'e peteĩ arapa ha'e peteĩ mba'e ohasa'ãnga pehẽngue ojapo.",4.177,723.25,Mitãnguéra ohoha'angarekóva ha'e peteĩ tembiasu térã peteĩ tembiasu térã peteĩ tembiasu térã peteĩ tembiasu térã peteĩ tembiasu térã peteĩ tembiasu térã peteĩ tembiasu térã peteĩ tembiasu térã peteĩ tembiasu tér,12.915,1108.14
p05,sentence_continuation,Ñane retã rembiasakue,"Ñane retã rembiasakue, hetãvore táva Tavakuai, oñemboja ñane retã, ojeikuaáva oñemboja tetãvore avei, ojeguereko ñane retã mboja, ojeikuaáva ojeikuaáva ñane retãmbyryre",4.27,723.25,"Ñane retã rembiasakue (ñane rembiasakue, ñane rembiasakue, ñane rembiasakue ha ñane rembiasakue hañe'ẽme, ñane rembiasakue) ha'e peteĩ ñane rembiasakue ñane rembiasakue ha'ekue ñane rembiasakue ñane remb",9.857,1108.14
p06,sentence_continuation,Tetã guasu,"Tetã guasu ha'e tetãme kuarahyre, kuarahyresýpe ha oñembohéra Tetãgua hembiapokue. Ojejuhu tetãme tetãgua ojejuhu tetãme kuarahyre kuarahyre, ojeguerúva tetãme, oñembyá",4.093,723.25,"Tetã guasu ha'e peteĩ tetã ha'e heta tetã tetã ojejuhúva tetã ojejuhu hag̃ua, heta tetã ojejuhu ha'e heta tetã ojejuhu hag̃ua. Ojeheñói Tetã guasu oikove tetã ambuéva, tetã ojejuhu hag̃ua",12.141,1108.14
p07,sentence_continuation,Oñemoarandu haguã,"Oñemoarandu haguãme, ojoguahẽ térã haguãme oñemoarandu haguãme peteĩha oñemoarandu ojejapo, oñemoarandu oñemombe'éva mbo'épe ha oñemombe'éva mbo'épe oñ",3.936,723.25,"Oñemoarandu haguã ha’e ñemoarandu ha’e mba’eha’e mba’épe oñeha’ãva ha’e mba’eha’e mba’épe. Hembiapokuéra oñepyrũva’ekue, ha’e oñeha’ãva oñeha’ãvape mba’épe. Upépe",12.032,1108.14
p08,sentence_continuation,Ko ára,"Ko árai oñemohenda'ekue oñemohenda'ekue hetãmbyhykuéra oñembojuhu ko ary 2013-pe, 140.469.080 hagua pegua. Ko árai oñemohenda'ekue ",4.655,723.25,"Ko ára 11 jasypa ary (1997) héra ymaguare ha’e peteĩ ñemonguatúva ha ñemoha’ãva, ojapo apytépe ha ojapo tetãme oñembosako’ỹva, oñepyrũvo hekoha’ãva ha ojapo peteĩhára, oñemb",11.767,1108.14
p09,sentence_continuation,Ñande ñe'ẽ,"Ñande ñe'ẽva heñói oĩva hag̃ua mbo'eha'e hag̃ua ha'e oñembohai oĩva, oñemomba'apy ojehecha ha'e, oñembohai oĩva. Oĩva, oñemomba'apy oje",4.506,723.25,"Ñande ñe'ẽngue, umíva oĩ ñande ha'e ñande ñe'ẽngue, oĩva, ñande ñe'ẽngue, umíva ñande ñe'ẽngue oĩva, ñande ñe'ẽngue, umíva ñande ñe'ẽngue, umíva ñande ñe'ẽngue oĩva, ñ",12.182,1108.14
p10,sentence_continuation,Ha upéicha,Ha upéicha ha'e tetãvore ojejapóva ojejapóva oñemomby'e táva ojejapóva táva oñemohenda ojejapóva oñemohenda ojejapóva táva oñemohenda oñemomby'e tá,3.827,723.25,Ha upéicha peteĩ avei peteĩ heta peteĩ peteĩ ha avei ha’e ha’e peteĩ peha. Avei peteĩ oikoveha’éva ha’e peteĩha peteĩ ojejuhuha’éva peteĩ ha’e peteĩha peteĩ ojejuhuha’,12.706,1108.14
